"id","stargazers_count","forks_count","watchers_count","open_issues_count","size","language","has_wiki","popular"
54346799,421177,45849,421177,1237,4962,"Python",0,1
13491895,385422,66102,385422,81,21140,"Python",0,1
83222441,342460,55337,342460,527,11277,"Python",1,1
21289110,291995,27659,291995,18,5265,"Python",0,1
63476337,219549,50319,219549,922,16591,"Python",1,1
614765452,183357,46231,183357,403,496454,"Python",1,1
527591471,162336,30266,162336,2476,36552,"Python",1,1
155220641,159265,32851,159265,2370,464344,"Python",1,1
307260205,156484,12873,156484,2464,60438,"Python",1,1
58028038,150711,11474,150711,324,9730,"Python",0,1
599320067,146868,8760,146868,955,1226267,"Python",1,1
1039520,140040,10613,140040,4122,65510,"Python",0,1
552661142,133323,22031,133323,513,532291,"Python",0,1
701547123,131511,18653,131511,285,351054,"Python",1,1
1061953414,116047,13318,116047,689,3474,"Python",0,1
589831718,108568,12596,108568,3967,86928,"Python",1,1
888092115,105502,6613,105502,563,4252,"Python",1,1
793375104,105250,15365,105250,7,201382,"Python",1,1
908531752,102591,16641,102591,138,1768,"Python",0,1
65600975,99077,27474,99077,18460,1293290,"Python",1,1
537603333,97644,12027,97644,119,4130,"Python",0,1
160919119,97128,9063,97128,172,40101,"Python",0,1
33614304,96465,3908,96465,421,4043,"Python",1,1
695864515,89979,13088,89979,120,156016,"Python",1,1
881458615,87493,10067,87493,224,31028,"Python",0,1
1042367133,87410,7520,87410,635,6633,"Python",0,1
4164482,87261,33814,87261,433,278554,"Python",0,1
12888993,86010,37224,86010,3630,805911,"Python",0,1
32689863,85974,7208,85974,482,76630,"Python",1,1
212639071,81970,19132,81970,43,8007,"Python",1,1
162998479,80867,9390,80867,254,18418,"Python",1,1
145553672,79939,15159,79939,46,174188,"Python",1,1
730534580,77879,8764,77879,3236,115607,"Python",0,1
51117837,77678,45154,77678,1279,659713,"Python",1,1
101138315,77014,12206,77014,128,316965,"Python",0,1
71220757,76848,16840,76848,22,23151,"Python",0,1
599547518,76336,15499,76336,4187,187877,"Python",0,1
262296122,75454,10231,75454,239,1855061,"Python",0,1
81598961,72302,34395,72302,9336,809010,"Python",0,1
21872392,72155,15400,72155,9,2752,"Python",0,1
596892,71412,16785,71412,3,11723,"Python",0,1
1174820787,71145,10378,71145,179,530,"Python",1,1
771302083,71091,8934,71091,396,311723,"Python",1,1
616372661,70413,8392,70413,317,72756,"Python",1,1
1024554267,70307,9374,70307,3604,121803,"Python",1,1
646410686,69987,8551,69987,966,13202,"Python",0,1
3638964,68354,24157,68354,792,264077,"Python",0,1
660551251,66979,8490,66979,114,184037,"Python",1,1
290091948,66283,6676,66283,30,156370,"Python",1,1
620936652,65989,13619,65989,5,171292,"Python",1,1
843222,65799,26941,65799,2055,180356,"Python",1,1
323048702,65786,6537,65786,76,2416558,"Python",0,1
71948498,64860,4684,64860,0,57561,"Python",0,1
33015583,63979,19741,63979,269,51611,"Python",1,1
798201435,63886,6549,63886,67,150467,"Python",1,1
1106996539,63877,6413,63877,89,3949,"Python",0,1
571186647,63553,1631,63553,37,141573,"Python",0,1
666299222,63096,5474,63096,313,100533,"Python",0,1
529502,61291,11464,61291,640,29967,"Python",1,1
725205304,61265,5290,61265,1150,69695,"Python",0,1
222751131,60990,11601,60990,108,30842,"Python",1,1
979115477,60901,7793,60901,586,31049,"Python",0,1
74627617,60588,10808,60588,243,779320,"Python",1,1
188660663,59613,9405,59613,170,369730,"Python",1,1
765083837,59534,4963,59534,161,151380,"Python",0,1
601538369,59323,9833,59323,521,1150,"Python",0,1
254832799,58062,6469,58062,56,2486,"Python",1,1
826168160,57679,3944,57679,874,271664,"Python",0,1
635240594,57200,7606,57200,294,2798,"Python",1,1
264818686,57187,17458,57187,53,17378,"Python",1,1
680120071,57016,8580,57016,766,148437,"Python",0,1
5483330,56817,9763,56817,383,3537,"Python",1,1
743230067,56620,6183,56620,874,14364,"Python",1,1
582822129,56576,9667,56576,346,981,"Python",1,1
83844720,56292,13717,56292,832,103959,"Python",1,1
220809393,56060,2101,56060,303,50508,"Python",1,1
535360445,55803,10744,55803,295,52959,"Python",1,1
943934999,55722,9720,55722,542,4472,"Python",1,1
770153867,55552,7937,55552,0,532396,"Python",1,1
634224458,55218,7314,55218,69,20474,"Python",0,1
114747226,55152,13409,55152,5,205636,"Python",0,1
1104332987,54304,8172,54304,232,16197,"Python",1,1
1362490,53886,9839,53886,230,13386,"Python",1,1
983345476,53716,7000,53716,23,45314,"Python",1,1
1078079172,53345,5703,53345,507,3742,"Python",1,1
656099147,52828,5922,52828,225,60992,"Python",0,1
896144595,52368,9083,52368,99,3055,"Python",1,1
1075431749,51694,6865,51694,91,1722,"Python",0,1
974186260,51529,23092,51529,38,30229,"Python",0,1
773286980,51521,8460,51521,126,1008,"Python",1,1
45723377,50731,3967,50731,4,4764,"Python",1,1
19745004,50053,32062,50053,9485,15192775,"Python",1,1
909213664,49946,9029,49946,266,4477,"Python",1,1
710601088,48735,6656,48735,510,222145,"Python",0,1
91629816,48636,10140,48636,34,720421,"Python",1,1
560704231,48528,7193,48528,272,443484,"Python",0,1
858127,48489,19867,48489,3431,388731,"Python",0,1
676676006,48057,7832,48057,292,34158,"Python",0,1
651517185,47755,10243,47755,148,28762,"Python",1,1
40416236,47620,2160,47620,108,330,"Python",1,1
834369920,46660,5776,46660,30,38386,"Python",1,1
580642043,46479,5915,46479,786,31893,"Python",1,1
265612440,45043,6033,45043,7,170196,"Python",1,1
33884891,45028,16852,45028,1713,567869,"Python",0,1
188700274,44234,1804,44234,256,10187,"Python",0,1
204086862,44197,4196,44197,1296,925105,"Python",0,1
266417772,44161,3171,44161,24,2404867,"Python",0,1
1201656210,43798,5612,43798,338,1929,"Python",0,1
873328,43565,4658,43565,2051,838198,"Python",0,1
819554665,43530,3012,43530,195,35239,"Python",0,1
474839179,43243,4276,43243,332,281373,"Python",1,1
638629097,43238,4194,43238,1481,140294,"Python",1,1
671269505,43063,7188,43063,2441,1015215,"Python",1,1
519832,43056,4510,43056,420,68505,"Python",0,1
522158088,43041,9897,43041,358,6495,"Python",1,1
4578002,42704,7038,42704,13,3844,"Python",1,1
162405963,42303,3385,42303,470,318663,"Python",1,1
83119431,42181,11574,42181,3,171378,"Python",0,1
237791077,42179,2722,42179,385,72563,"Python",1,1
71932349,42089,7428,42089,3580,710229,"Python",0,1
235860204,42064,4792,42064,1288,246012,"Python",0,1
91253698,41814,8603,41814,1318,6529157,"Python",1,1
125266328,41460,2757,41460,325,7860,"Python",1,1
422274596,41364,4517,41364,494,66636,"Python",1,1
90563585,41211,1908,41211,144,4717,"Python",1,1
613349035,41170,5184,41170,605,9362,"Python",0,1
287463830,40637,6387,40637,390,17977,"Python",1,1
822604462,40368,7501,40368,54,187489,"Python",1,1
154747577,39977,9708,39977,881,317,"Python",1,1
70905478,39479,7309,39479,92,3638,"Python",1,1
615882673,39446,4797,39446,1020,35345,"Python",0,1
488641606,39384,5247,39384,724,280749,"Python",1,1
31522041,39292,11409,39292,17,303071,"Python",1,1
1147094660,39256,6869,39256,955,37308,"Python",0,1
1044296738,39111,4521,39111,125,215670,"Python",1,1
640079149,39097,3748,39097,23,130685,"Python",0,1
806709826,39063,4237,39063,58,10772,"Python",1,1
143328315,38966,6185,38966,75,280235,"Python",1,1
969302809,38356,3132,38356,208,20328,"Python",0,1
118861276,38341,6716,38341,0,13286,"Python",1,1
838253246,38192,3424,38192,305,8298,"Python",1,1
458648791,38039,2418,38039,6,185488,"Python",1,1
571613891,37970,3345,37970,127,2988636,"Python",0,1
3544424,37912,3890,37912,269,6925,"Python",0,1
621799276,37804,6189,37804,21,144496,"Python",1,1
265122478,37751,2776,37751,475,47068,"Python",1,1
577603990,37418,3293,37418,296,35477,"Python",0,1
349321229,37418,6278,37418,403,5467,"Python",1,1
